StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/04/30 02:23:38.768912,0.404729,tcp,39.108.177.164,42188,   ->,159.65.26.180,8088,SR_RA,0,0,3,166,112,2
2021/04/30 02:23:41.499385,0.000028,tcp,162.142.125.85,4589,   ->,159.65.26.180,44444,S_RA,0,0,2,112,58,1
2021/04/30 02:23:52.465892,0.015488,tcp,92.63.197.86,57714,   ->,159.65.26.180,6383,SR_RA,0,0,3,166,112,2
2021/04/30 02:24:06.733076,0.672697,tcp,46.224.239.116,2196,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:24:21.028959,0.065150,tcp,45.143.200.34,55710,   ->,159.65.26.180,7869,SR_RA,0,0,3,166,112,2
2021/04/30 02:25:09.264386,0.405529,tcp,193.148.69.3,54541,   ->,159.65.26.180,5080,SR_RA,0,0,3,166,112,2
2021/04/30 02:25:16.202431,0.000036,tcp,192.35.168.133,40441,   ->,159.65.26.180,9090,S_RA,0,0,2,110,56,1
2021/04/30 02:25:17.090606,0.000032,udp,94.189.163.10,54832,   ->,159.65.26.180,53161,INT,0,,1,156,156,1
2021/04/30 02:25:18.544293,0.000026,tcp,162.142.125.25,57070,   ->,159.65.26.180,8008,S_RA,0,0,2,112,58,1
2021/04/30 02:25:22.927119,0.000035,icmp,52.81.248.212,0x0008,  <->,159.65.26.180,0x1900,ECO,0,0,2,196,98,1
2021/04/30 02:25:23.753682,0.000027,tcp,143.198.111.3,51009,   ->,159.65.26.180,1085,S_RA,0,0,2,110,56,1
2021/04/30 02:25:24.881886,0.000033,icmp,52.81.248.212,0x0008,  <->,159.65.26.180,0x1b00,ECO,0,0,2,196,98,1
2021/04/30 02:25:24.919967,0.000027,icmp,52.81.51.93,0x0008,  <->,159.65.26.180,0x1300,ECO,0,0,2,196,98,1
2021/04/30 02:25:28.755868,0.022416,tcp,193.57.40.49,57129,   ->,159.65.26.180,20000,SR_RA,0,0,3,166,112,2
2021/04/30 02:25:41.064838,0.000027,tcp,1.191.60.199,46364,   ->,159.65.26.180,23,S_RA,0,0,2,110,56,1
2021/04/30 02:25:56.227951,0.000023,tcp,93.174.95.106,29011,   ->,159.65.26.180,2375,S_RA,16,16,2,112,58,1
2021/04/30 02:25:58.469469,0.000035,tcp,45.146.165.75,54870,   ->,159.65.26.180,9069,S_RA,0,0,2,110,56,1
2021/04/30 02:26:12.885232,0.019584,tcp,92.63.197.58,57104,   ->,159.65.26.180,5686,SR_RA,0,0,3,166,112,2
2021/04/30 02:26:30.057424,2009.942627,arp,159.65.16.1,,  who,159.65.26.180,,CON,,,2,102,60,1
2021/04/30 02:26:30.182496,0.000026,tcp,192.241.218.74,42397,   ->,159.65.26.180,4840,S_RA,0,0,2,110,56,1
2021/04/30 02:26:35.947470,0.639593,tcp,177.233.0.30,64293,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:26:40.766561,0.224524,tcp,150.158.155.125,42119,   ->,159.65.26.180,2377,SR_RA,96,96,3,166,112,2
2021/04/30 02:26:45.527458,0.042852,tcp,45.143.200.34,55710,   ->,159.65.26.180,8762,SR_RA,0,0,3,166,112,2
2021/04/30 02:27:19.376696,0.012246,tcp,92.63.197.58,57104,   ->,159.65.26.180,5691,SR_RA,0,0,3,166,112,2
2021/04/30 02:27:23.248687,0.028347,tcp,89.248.165.201,40400,   ->,159.65.26.180,20383,SR_RA,0,0,3,166,112,2
2021/04/30 02:27:26.896889,0.012775,tcp,92.63.197.53,56750,   ->,159.65.26.180,5236,SR_RA,0,0,3,166,112,2
2021/04/30 02:27:32.607934,0.000025,tcp,61.80.157.72,42638,   ->,159.65.26.180,5555,S_RA,0,0,2,128,74,1
2021/04/30 02:27:32.829796,0.000025,tcp,186.87.146.196,47890,   ->,159.65.26.180,5555,S_RA,0,0,2,128,74,1
2021/04/30 02:27:33.427445,0.732583,tcp,110.78.186.155,62566,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:27:35.194586,0.047983,tcp,45.146.164.243,49378,   ->,159.65.26.180,6514,SR_RA,0,0,3,166,112,2
2021/04/30 02:27:47.615798,0.000025,tcp,74.120.14.77,15218,   ->,159.65.26.180,8831,S_RA,32,32,2,112,58,1
2021/04/30 02:27:53.082245,0.080651,tcp,45.129.137.240,48066,   ->,159.65.26.180,3386,SR_RA,0,0,3,166,112,2
2021/04/30 02:28:39.182917,0.331637,tcp,47.95.250.24,42118,   ->,159.65.26.180,2375,SR_RA,0,0,3,166,112,2
2021/04/30 02:28:40.053402,0.041770,tcp,103.145.13.243,42360,   ->,159.65.26.180,50802,SR_RA,40,40,3,166,112,2
2021/04/30 02:28:42.879739,0.000028,tcp,71.6.158.166,20270,   ->,159.65.26.180,9306,S_RA,16,16,2,112,58,1
2021/04/30 02:28:44.059730,0.529166,tcp,62.233.166.162,38009,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:29:41.343560,0.729035,tcp,122.118.113.123,60998,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:29:41.499249,0.053234,tcp,45.143.200.34,55710,   ->,159.65.26.180,10803,SR_RA,0,0,3,166,112,2
2021/04/30 02:29:45.666615,0.052333,tcp,45.143.200.34,55710,   ->,159.65.26.180,10924,SR_RA,0,0,3,166,112,2
2021/04/30 02:29:46.455761,0.320351,tcp,121.40.193.220,42139,   ->,159.65.26.180,2375,SR_RA,0,0,3,166,112,2
2021/04/30 02:29:49.018069,0.050434,tcp,45.146.164.243,49378,   ->,159.65.26.180,5953,SR_RA,0,0,3,166,112,2
2021/04/30 02:29:52.255084,0.000037,udp,199.127.60.189,38095,   ->,159.65.26.180,389,INT,0,,1,95,95,1
2021/04/30 02:29:53.242248,0.709352,tcp,202.153.35.158,51918,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:29:58.707538,0.060557,tcp,45.143.200.34,55710,   ->,159.65.26.180,10718,SR_RA,0,0,3,166,112,2
2021/04/30 02:30:08.065041,0.106775,tcp,109.234.153.131,42607,   ->,159.65.26.180,3128,SR_RA,0,0,3,166,112,2
